bigrama,frecuencia
of line,374
of the,335
line f,276
on by,268
last edited,267
edited on,267
by stolfi,267
identification title,257
folio panels,257
panels bifolio,257
bifolio quire,257
attributes language,257
currier subsets,257
stolfi identification,256
stolfi folio,256
currier hand,255
hand currier,249
stolfi subject,238
rene stolfi,227
end of,209
in the,204
f deleted,198
title page,188
at end,186
beginning of,170
reeds description,166
is a,165
beinecke attributes,157
h last,153
f added,150
h rene,149
to the,145
at beginning,142
at the,132
i h,130
h q,130
subsets h,129
subject herbal,129
herbal colors,124
there is,121
language a,117
l a,116
a currier,115
on the,107
rene hea,97
hea stolfi,97
to be,96
a h,95
of a,93
of text,89
comments i,89
with a,88
the top,88
l b,85
language b,84
b currier,84
is the,82
description comments,78
the text,77
plant petersen,77
the page,75
from the,75
and the,74
reeds plant,74
petersen description,74
by a,72
by o,69
b h,68
there are,68
the right,68
k at,65
by the,60
colors red,60
replaced iiir,58
iiir by,58
language currier,58
colors reeds,56
colors green,55
that the,54
m at,53
with the,52
fold out,52
c replaced,52
the left,52
description i,50
between the,49
right half,49
the two,49
the first,48
f f,48
the center,48
m rene,48
the plant,47
colors blue,47
cw yes,46
f created,45
half of,45
the bottom,45
the outer,45
may be,44
like a,44
green reeds,44
panel fold,44
the other,43
and a,43
a single,42
beinecke this,42
this page,41
ring of,41
subject unknown,40
txt gsub,39
the inner,39
yes cw,39
it is,38
in a,38
has a,38
comments the,38
added k,37
s rene,37
line g,36
be written,36
the middle,36
b rene,36
deleted k,34
b v,34
mechanically drawn,34
yes no,34
t rene,33
tan reeds,33
panel of,33
the diagram,33
text only,32
green tan,32
inside the,32
rene heb,32
heb stolfi,32
yellow stars,32
o f,31
seems to,31
could be,31
p stolfi,31
stars reeds,31
t p,30
from f,30
deleted at,30
rene p,30
a last,29
part of,29
line c,29
deleted m,29
paragraphs with,29
i m,29
c rene,29
text unit,28
be a,28
next to,28
the star,28
description one,28
m q,28
subsets m,28
i p,28
written to,28
q t,28
quire t,28
rene xviii,28
xviii beinecke,28
the last,27
replaced by,27
l replaced,27
side of,27
right justified,27
red reeds,27
one plant,27
title missing,27
missing page,27
the second,26
the fold,26
missing i,26
interrupted by,26
c deleted,26
added at,26
left and,26
and right,26
for the,25
i s,25
a star,25
from beginning,25
added m,25
f replaced,25
the innermost,25
a short,25
two paragraphs,25
and lines,25
red green,25
blue green,25
b last,25
rene str,25
str stolfi,25
panel is,25
the original,24
