palabra_eva,frecuencia
the,2732
of,1433
a,1400
stolfi,820
and,810
rene,800
is,739
by,689
f,630
at,595
line,582
with,539
in,531
currier,529
to,493
h,493
on,480
page,467
i,408
p,399
b,349
are,334
text,310
hand,310
folio,306
last,301
from,300
l,296
panels,296
q,292
quire,281
deleted,281
reeds,276
title,274
edited,270
s,266
bifolio,263
attributes,262
colors,262
language,261
beinecke,258
identification,258
subsets,257
that,255
two,255
c,253
description,250
or,246
subject,239
be,228
end,225
there,221
one,215
plant,215
added,209
m,204
comments,194
right,190
this,178
beginning,171
it,162
each,160
lines,158
g,143
herbal,143
like,141
as,139
panel,136
green,134
an,129
replaced,129
t,128
between,128
k,125
o,125
yes,121
stars,120
top,120
for,112
no,111
left,111
ring,109
red,106
outer,104
three,101
but,101
unit,99
e,97
hea,97
star,96
not,93
fold,93
four,93
petersen,91
v,90
has,90
leaves,90
stem,90
dark,90
some,89
missing,89
have,89
short,88
blue,88
half,86
was,85
out,85
d,81
only,81
all,80
inner,78
root,71
into,70
may,70
n,68
diagram,68
shaped,68
drawn,68
paragraph,67
r,66
edge,66
other,65
label,64
bottom,64
band,63
cw,63
paragraphs,62
also,61
circle,61
iiir,61
first,60
which,60
x,60
flower,60
single,59
z,59
created,58
y,57
side,57
word,56
middle,56
center,55
circles,55
j,54
tan,54
written,53
inside,53
clockwise,53
very,52
nymph,52
small,51
yellow,50
long,49
figures,49
up,49
vertical,49
nymphs,49
just,49
labels,48
light,48
rosette,48
were,47
below,47
its,47
looks,47
flowers,47
they,46
visible,46
down,46
part,45
more,44
txt,44
unknown,44
after,43
figure,43
straight,43
rings,43
these,42
circular,42
number,42
justified,42
could,42
leaf,42
voynich,41
file,41
gsub,41
narrow,41
above,40
if,40
second,40
almost,40
faint,39
than,38
seems,38
so,37
se,37
tail,36
corner,36
pointing,36
contains,35
